team_id,name,number,position,hand
4,松井裕樹,13,P,右
4,宮城大弥,14,P,左
4,伊藤大海,15,P,右
4,大勢,17,P,右
4,菊池雄星,18,P,左
4,山本由伸,19,P,右
4,菅野智之,26,P,右
4,種市篤暉,28,P,右
4,髙橋宏斗,47,P,右
4,曽谷龍平,57,P,右
4,北山亘基,61,P,左
4,平良海馬,66,P,右
4,松本裕樹,69,P,左
4,石井大智,4,P,右
4,若月健矢,12,C,右
4,坂本誠志郎,27,C,右
4,中村悠平,2,C,右
4,牧秀悟,3,IF,右
4,小園海斗,5,IF,左
4,牧原大成,6,IF,右
4,源田壮亮,7,IF,右
4,佐藤輝明,25,IF,右
4,岡本和真,55,IF,右
4,村上宗隆,8,IF,左
4,近藤健介,20,OF,左
4,周東佑京,23,OF,左
4,森下翔太,34,OF,右
4,吉田正尚,51,OF,左
4,鈴木誠也,16,OF,右
4,大谷翔平,1,DH,左
